DPU 32, Thread 13, Cycles: 576
DPU 32, Thread 14, Cycles: 592
DPU 32, Thread 15, Cycles: 384
DPU 33, Thread 0, Cycles: 576
DPU 33, Thread 1, Cycles: 448
DPU 33, Thread 2, Cycles: 480
DPU 33, Thread 3, Cycles: 464
DPU 33, Thread 4, Cycles: 496
DPU 33, Thread 5, Cycles: 496
DPU 33, Thread 6, Cycles: 512
DPU 33, Thread 7, Cycles: 544
DPU 33, Thread 8, Cycles: 560
DPU 33, Thread 9, Cycles: 576
DPU 33, Thread 10, Cycles: 576
DPU 33, Thread 11, Cycles: 576
DPU 33, Thread 12, Cycles: 576
DPU 33, Thread 13, Cycles: 576
DPU 33, Thread 14, Cycles: 592
DPU 33, Thread 15, Cycles: 384
DPU 34, Thread 0, Cycles: 576
DPU 34, Thread 1, Cycles: 448
DPU 34, Thread 2, Cycles: 480
DPU 34, Thread 3, Cycles: 464
DPU 34, Thread 4, Cycles: 496
DPU 34, Thread 5, Cycles: 496
DPU 34, Thread 6, Cycles: 512
DPU 34, Thread 7, Cycles: 544
DPU 34, Thread 8, Cycles: 560
DPU 34, Thread 9, Cycles: 576
DPU 34, Thread 10, Cycles: 576
DPU 34, Thread 11, Cycles: 576
DPU 34, Thread 12, Cycles: 576
DPU 34, Thread 13, Cycles: 576
DPU 34, Thread 14, Cycles: 592
DPU 34, Thread 15, Cycles: 384
DPU 35, Thread 0, Cycles: 576
DPU 35, Thread 1, Cycles: 448
DPU 35, Thread 2, Cycles: 480
DPU 35, Thread 3, Cycles: 464
DPU 35, Thread 4, Cycles: 496
DPU 35, Thread 5, Cycles: 496
DPU 35, Thread 6, Cycles: 512
DPU 35, Thread 7, Cycles: 544
DPU 35, Thread 8, Cycles: 560
DPU 35, Thread 9, Cycles: 576
DPU 35, Thread 10, Cycles: 576
DPU 35, Thread 11, Cycles: 576
DPU 35, Thread 12, Cycles: 576
DPU 35, Thread 13, Cycles: 576
DPU 35, Thread 14, Cycles: 592
DPU 35, Thread 15, Cycles: 384
DPU 36, Thread 0, Cycles: 576
DPU 36, Thread 1, Cycles: 448
DPU 36, Thread 2, Cycles: 480
DPU 36, Thread 3, Cycles: 464
DPU 36, Thread 4, Cycles: 496
DPU 36, Thread 5, Cycles: 496
DPU 36, Thread 6, Cycles: 512
DPU 36, Thread 7, Cycles: 544
DPU 36, Thread 8, Cycles: 560
DPU 36, Thread 9, Cycles: 576
DPU 36, Thread 10, Cycles: 576
DPU 36, Thread 11, Cycles: 576
DPU 36, Thread 12, Cycles: 576
DPU 36, Thread 13, Cycles: 576
DPU 36, Thread 14, Cycles: 592
